iter	Logloss
0	0.6880447639
1	0.6803335558
2	0.6723647289
3	0.6648574002
4	0.6585632296
5	0.6542078838
6	0.6473247042
7	0.6410150814
8	0.6346202293
9	0.6288742906
10	0.622578287
11	0.6159036749
12	0.6101331716
13	0.6048606667
14	0.6001892367
15	0.5952202956
16	0.5901179409
17	0.5843253141
18	0.5793506053
19	0.5748040437
20	0.5705747987
21	0.5658134545
22	0.5611862959
23	0.5576205807
24	0.5530857526
25	0.5493997663
26	0.5457953361
27	0.5425349494
28	0.5393535101
29	0.5351810084
30	0.5319410785
31	0.5289339073
32	0.5264560055
33	0.5226490519
34	0.5194310064
35	0.5169880566
36	0.5141841036
37	0.5110728536
38	0.5084215651
39	0.5055309263
40	0.5030694467
41	0.5000930061
42	0.4973506411
43	0.4946442474
44	0.4923443923
45	0.4895425655
46	0.487707264
47	0.4853656939
48	0.4831565995
49	0.4813730834
50	0.4790445223
51	0.4772005445
52	0.4761080916
53	0.474406234
54	0.4735173995
55	0.472000003
56	0.4702806019
57	0.4682644536
58	0.4667418698
59	0.4648898158
60	0.462937628
61	0.4611931502
62	0.4599185369
63	0.4587338397
64	0.4572077144
65	0.4557086605
66	0.4541098015
67	0.4529331606
68	0.4516134149
69	0.4500646637
70	0.4488406953
71	0.4480069192
72	0.446759354
73	0.4453540329
74	0.4448828698
75	0.4436692672
76	0.4425021064
77	0.4415040208
78	0.4407714252
79	0.4398154242
80	0.438941194
81	0.4381768462
82	0.4371020124
83	0.436303845
84	0.4351721771
85	0.4340746055
86	0.4332069009
87	0.4324366559
88	0.4316911442
89	0.430626832
90	0.4300022007
91	0.4294996375
92	0.4285581014
93	0.4276731156
94	0.4269541927
95	0.4264037845
96	0.425582567
97	0.424906475
98	0.4241023749
99	0.4235408993
100	0.4227299079
101	0.4224608207
102	0.4218389153
103	0.4211736147
104	0.4206733087
105	0.4201302465
106	0.4195551463
107	0.4193837302
108	0.4190196274
109	0.4184649839
110	0.4180784074
111	0.4175762459
112	0.4171341551
113	0.4165619637
114	0.4159823113
115	0.4158471647
116	0.41546784
117	0.414956285
118	0.4145430741
119	0.4142332944
120	0.4137592858
121	0.4132083181
122	0.4127999259
123	0.4122999101
124	0.4119697315
125	0.4114651306
126	0.4113668562
127	0.4109083067
128	0.4106555731
129	0.4103285428
130	0.4102402609
131	0.4099201595
132	0.4096256856
133	0.409400342
134	0.4088313762
135	0.4086419386
136	0.4081934529
137	0.4077435596
138	0.4074158907
139	0.4069862896
140	0.4067795574
141	0.4063632091
142	0.4059947361
143	0.4057745357
144	0.405468559
145	0.4050468436
146	0.4049923957
147	0.4046709312
148	0.4043541352
149	0.4041216534
150	0.4037895106
151	0.4033659684
152	0.402978275
153	0.4027457915
154	0.4026243188
155	0.4022828409
156	0.4022135881
157	0.4019709253
158	0.4016331434
159	0.401364674
160	0.4010438295
161	0.4007866374
162	0.4005927984
163	0.4004617979
164	0.4003944536
165	0.4001176122
166	0.3998652589
167	0.3997035172
168	0.3995494505
169	0.399411144
170	0.3992446481
171	0.3989750613
172	0.3987836538
173	0.3985803724
174	0.3984046772
175	0.3980934279
176	0.3979540421
177	0.3977198462
178	0.397489318
179	0.3973102513
180	0.3971914626
181	0.3970477845
182	0.3968924102
183	0.3967314104
184	0.3967133689
185	0.3965210173
186	0.3964127448
187	0.396311322
188	0.396085315
189	0.3959418466
190	0.3957704598
191	0.3956735831
192	0.3955266063
193	0.3953889456
194	0.3952986742
195	0.3951714942
196	0.3949207319
197	0.3947727948
198	0.3945925769
199	0.3944183594
200	0.3942087461
201	0.3941082882
202	0.3938864022
203	0.3938126108
204	0.3936316957
205	0.3935243486
206	0.3934670232
207	0.3933372653
208	0.393225199
209	0.3930586804
210	0.3929351088
211	0.3929099116
212	0.3928242825
213	0.3927252318
214	0.3925530984
215	0.3923979803
216	0.3922539962
217	0.3921057065
218	0.3920247136
219	0.3918759933
220	0.3917769029
221	0.3917219284
222	0.3916654983
223	0.3915792202
224	0.3915013823
225	0.3913740935
226	0.3912471977
227	0.3911277727
228	0.391022564
229	0.390922267
230	0.3907877126
231	0.3906920357
232	0.3905549188
233	0.3904075146
234	0.3902806374
235	0.3902433747
236	0.3901656253
237	0.3900588937
238	0.3899816765
239	0.389869404
240	0.3898174196
241	0.3897012849
242	0.3895719229
243	0.3894908268
244	0.3893814011
245	0.3893192039
246	0.3892406235
247	0.3892081172
248	0.3891245048
249	0.3890353432
250	0.3890097111
251	0.3889179217
252	0.3888677727
253	0.3888511566
254	0.3887749491
255	0.3887215229
256	0.3886182839
257	0.388512624
258	0.3884394577
259	0.3883451349
260	0.3882914166
261	0.3882307486
262	0.3881794203
263	0.3880684039
264	0.3879850782
265	0.3878795531
266	0.3878565088
267	0.3877626963
268	0.3876990882
269	0.3876189499
270	0.3875365395
271	0.3874624763
272	0.3874461975
273	0.387351395
274	0.3872353657
275	0.3871730943
276	0.387108408
277	0.3870459607
278	0.3869603062
279	0.3868930031
280	0.3868181726
281	0.3867714173
282	0.3867110929
283	0.3866510249
284	0.3865694184
285	0.3864875702
286	0.3864731607
287	0.3864135046
288	0.3863301441
289	0.3862751156
290	0.3862187816
291	0.3861396928
292	0.3860203598
293	0.3859689968
294	0.3858748227
295	0.3858175507
296	0.3857142142
297	0.3856487577
298	0.3856224796
299	0.3855648792
